🔒 SKU Row ID,Product Code,Product Name,Zonal/Added to Zonal,Unit,Cost,Supplier ID,Active/Active,Sorting/Pin,History/Created Timestamp,History/Created by User,Import/DatafromCSV ID,Par API/SKU Added to Par Helper,Mask API/Added to SKU Mask,Ownership/Org ID,Flag/Flag,Flag/Flag Message,History/Last updated,History/Last updated by,Delete,Set/Auto-Quantity Weekday,Notes/SKU Global Note
wm0gQvWQTfWhiSeavU8zBg,8140,Dried Mixed Fruit,true,3kg,13.85,JKGzpLFSRxCfAxNLKmy33A,false,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,6YCyNiNJRXmdDIsVhnwNzw,true,true,wuqj75edR0670x.mQmMz0A,true,Used in Loughborough for fruit loaf,,,,,
MQIOCEnOSoCAeE7ZoYCD5A,N/A,Jeeves & Jericho Decaf Tea,true,1 x 100,25,w6AhNWWTQsiz3TYH.act5Q,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,oI-PoNGTTQmiTTZzTFpUMQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,false,,
MntRZFs1TS6XCMlEpuSk6w,100082800NVBT06,Prosecco Cecilia Beretta NV,true,6 x 75cl,7.84,a.3hkq3OGSyWf66d3VFCiPg,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,48BVj-7ySqiitdwNzjYPFg,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
Z0Hp85jgRg2kzZX3677MyA,33130,Peanut Butter,true,2.5kg,17.98,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,lskDakqoTXOFZdgZMnXb5Q,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
H6SMh.yfS8SKrlUz4JbFrA,43785,Baking Powder,true,800g,3.34,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,Xk-6.N5mRKW3lT9-RXPteA,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
lc4FDbf3Qze59O3TtP0udQ,73452,Marshmallows,true,4 x 500g,17,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,G0Yqww40RnOru0ll38P0BQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
MravQeahTLyI1oFxBZn1wg,10006652023BT06,Il Barroccio Rosso DOC Nero d'Avola Sicilia 2023,true,6 x 75cl,6.46,a.3hkq3OGSyWf66d3VFCiPg,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,qMbRbxSPSrGf-F6fYDHqbw,true,true,wuqj75edR0670x.mQmMz0A,,,,,false,,
lgDEr4J-S2alGMNm4XkHJw,10074692023BT06,Il Barroccio IGT Bianco Veneto 2022,true,6 x 75cl,6.24,a.3hkq3OGSyWf66d3VFCiPg,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,NdOJa-2qR5mpEmBqf.dnrQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
6jDmzNqRQgC0KeOHq3VEPw,43484,Self-Raising Flour,true,16kg,12.29,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,cUL7W00XRzaAPxi.wHwP3Q,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
MZ4s5me5REiQjXtvqxEm3Q,9945,Hellmans Mayo,true,5 Litre,26,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,Bz1C3XAdSQSfiL5ocspyzA,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
