🔒 Row ID,SKU ID,LOC ID,SUPPLIER ID,CSV ID,Owner ID,Site Mask/Active,Site Mask/Pinned,Site Mask/Weekday Set QTY,Site Mask/Weekend Set QTY,Site Mask/Weekday Par QTY,Site Mask/Weekend Par QTY,SKU Lookup/Product Description READ,SKU Lookup/Product Code READ,SKU Lookup/Unit READ,SKU Lookup/Cost READ,History/Created,History/Last PD Update
c8lkY.HpQG-CGxnPjG0l9w,lgDEr4J-S2alGMNm4XkHJw,QG-A.oJrSF2AmUnmgpDNUg,a.3hkq3OGSyWf66d3VFCiPg,NdOJa-2qR5mpEmBqf.dnrQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,Il Barroccio IGT Bianco Veneto 2022,10074692023BT06,6 x 75cl,6.24,,
7F7ilQSISR2OGB2wYYIRPg,6jDmzNqRQgC0KeOHq3VEPw,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,cUL7W00XRzaAPxi.wHwP3Q,wuqj75edR0670x.mQmMz0A,true,,,,2,,Self-Raising Flour,43484,16kg,12.29,,
FMGgyy3RTSGYIc6Hf7vZ5A,MZ4s5me5REiQjXtvqxEm3Q,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,Bz1C3XAdSQSfiL5ocspyzA,wuqj75edR0670x.mQmMz0A,true,,,,2,,Hellmans Mayo,9945,5 Litre,26,,
Ghm1pSnYRM63435KAG5h0Q,390V.lS3RwK3wTRbn26hCQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,IedkMDfVSy24r6RaH9d6Iw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Cracked Black Pepper,42567,425g,6.25,,
Y2rq7M5QQXqsO8oucKlJ6A,TN3Da20uRTOnvkZ02SDnKw,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,YWChyohvRLWeSRrYk6oC2Q,wuqj75edR0670x.mQmMz0A,true,,,,2,,Ice Cubes,3272,6 x 2kg,5.5,,
Xb.CJ4xHQEeU-JNxrf4.LQ,B1P05BW3QNSxfDDYMFbyng,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,o5ZkCcDCQNaoTPCfwchAIg,wuqj75edR0670x.mQmMz0A,,,,,2,,Vegan Sweet Potato Falafel,33416,3 x 30 x 22g,19.45,,
jiTzu9FFT76w8.QQePaKkQ,PgTm-rfySV6ak2OilZ6-qg,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,Xmj0UUPfRC6DahZbFjI-ZA,wuqj75edR0670x.mQmMz0A,true,,,,2,,Strong White Bread Flour,15268,16kg,15.99,,
sWLNEqMdQqCnGYYfBtsdTQ,6aZUuEKBQHS.Klzo1Wc35w,QG-A.oJrSF2AmUnmgpDNUg,AjTs2rKDRt2drnhqSUkbng,nvI.CVW6SmyE-PzPFbAQ2w,wuqj75edR0670x.mQmMz0A,true,,,,2,,Sticky Maple Pecan Pie - Sliced,6051,1 x 16,27.95,,
ipB-td5bQiavyLAExGSmGw,qb93QEGFS7aOlhgJotYlxQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,g4vuxCgzRu2T3dOrrOpGCQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,Table Salt,83254,6kg,6.77,,
AB1JeiZ9THaskMuYojSiCQ,U368R1q8R3qXzNUSztkPPg,QG-A.oJrSF2AmUnmgpDNUg,w6AhNWWTQsiz3TYH.act5Q,A0jSQeMRQYafLv8ZtIueZw,wuqj75edR0670x.mQmMz0A,true,,,,7,,Jeeves & Jericho Mojito Mint Tea,N/A,1 x 100,21.5,,
